month,days,active_days,bets,hits,ledger,real,bonus,bankroll_start,bankroll_end,min_bankroll,max_bankroll
2025-01,31,7,105,4,-610.0,-508.0,102.0,1000.0,492.0,492.0,1036.0
2025-02,28,10,150,19,590.0,647.0,57.0,492.0,1139.0,492.0,1266.5
2025-03,31,24,360,33,30.0,196.5,166.5,1139.0,1335.5,785.0,1361.0
2025-04,30,30,450,45,450.0,645.0,195.0,1335.5,1980.5,1208.0,2093.5
2025-05,31,30,450,50,1000.0,1135.0,135.0,1980.5,3115.5,1946.5,3115.5
2025-06,30,14,210,17,-230.0,-110.0,120.0,3115.5,3005.5,3005.5,3422.0
2025-07,31,7,105,10,50.0,74.0,24.0,3005.5,3079.5,3005.5,3113.5
2025-08,31,27,405,38,130.0,292.0,162.0,3079.5,3371.5,2920.0,3626.5
2025-09,30,19,285,27,120.0,225.0,105.0,3371.5,3596.5,3280.0,3792.0
2025-10,31,20,300,25,-250.0,-89.5,160.5,3596.5,3507.0,3298.5,3698.5
2025-11,30,28,420,37,-130.0,71.0,201.0,3507.0,3578.0,3313.5,3833.0
2025-12,31,24,360,35,250.0,416.5,166.5,3578.0,3994.5,3578.0,4354.5
