month,days,bets,hits,ledger,real,bonus,bankroll_start,bankroll_end,min_bankroll,max_bankroll
2025-01,31,465,32,-1130.0,-860.0,270.0,1000.0,140.0,70.0,1216.0
2025-02,28,420,45,750.0,916.5,166.5,140.0,1056.5,-183.0,1184.0
2025-03,31,465,45,300.0,490.5,190.5,1056.5,1547.0,670.5,1547.0
2025-04,30,450,45,450.0,645.0,195.0,1547.0,2192.0,1419.5,2305.0
2025-05,31,465,54,1290.0,1425.0,135.0,2192.0,3617.0,2158.0,3617.0
2025-06,30,450,32,-980.0,-689.0,291.0,3617.0,2928.0,2858.0,3923.5
2025-07,31,465,41,-140.0,73.0,213.0,2928.0,3001.0,2728.5,3300.5
2025-08,31,465,46,410.0,594.5,184.5,3001.0,3595.5,2873.5,3850.5
2025-09,30,450,45,450.0,618.0,168.0,3595.5,4213.5,3410.5,4341.0
2025-10,31,465,42,-30.0,199.5,229.5,4213.5,4413.0,3939.0,4604.5
2025-11,30,450,43,230.0,431.0,201.0,4413.0,4844.0,4287.5,5099.0
2025-12,31,465,43,80.0,320.0,240.0,4844.0,5164.0,4914.0,5690.5
